time,cwnd
0,1
0.1,17.5
0.2,18.5015
0.3,19.5028
0.4,20.5039
0.5,10.3491
0.6,11.3666
0.7,12.3808
0.8,13.3927
0.9,14.4026
1,7.47451
1.1,8.48506
1.2,4.5846
1.3,5.58752
1.4,6.5869
1.5,7.58484
1.6,8.58221
1.7,9.5794
1.8,4.7897
1.9,5.75573
2,6.72955
2.1,7.70869
2.2,4.16842
2.3,5.2548
2.4,6.30861
2.5,3.1543
2.6,4.27383
2.7,5.33788
2.8,6.37759
2.9,7.40436
3,8.42345
3.1,9.43764
3.2,10.4485
3.3,11.457
3.4,12.4639
3.5,13.4695
3.6,14.4741
3.7,15.4779
3.8,8.02499
3.9,8.9729
4,9.9305
4.1,10.8953
4.2,11.8657
4.3,12.8403
4.4,13.8183
4.5,7.1586
4.6,8.20875
4.7,9.24681
4.8,10.2767
4.9,11.3007
5,12.3204
5.1,13.3368
5.2,14.3508
5.3,7.58288
5.4,8.58048
5.5,9.57785
5.6,10.5752
5.7,11.5726
5.8,12.5701
5.9,13.5678
6,14.5656
6.1,7.45284
6.2,8.46601
6.3,9.47558
6.4,4.79056
6.5,5.75644
6.6,6.73015
6.7,7.70922
6.8,8.69212
6.9,4.46036
7,5.48692
7.1,6.5022
7.2,7.51162
7.3,8.51769
7.4,9.52172
7.5,10.5244
7.6,5.44975
7.7,6.47101
7.8,7.48472
7.9,8.49403
8,9.50059
8.1,4.80293
8.2,5.76666
8.3,6.73886
8.4,7.7168
8.5,4.17217
8.6,5.25773
8.7,6.31104
8.8,7.34731
8.9,8.37345
9,9.3931
9.1,10.4083
9.2,11.4205
9.3,12.4303
9.4,6.21514
9.5,7.26539
9.6,8.30183
9.7,4.27051
9.8,5.33526
9.9,6.3754
10,7.40248
10.1,8.42181
10.2,9.43617
10.3,10.4472
10.4,11.4558
10.5,12.4628
10.6,13.4684
10.7,6.98992
10.8,7.93644
10.9,8.89392
11,9.85928
11.1,10.8305
11.2,5.86044
11.3,6.81896
11.4,7.78667
11.5,8.76076
11.6,4.38038
11.7,5.42272
11.8,6.44839
11.9,7.46523
12,8.4769
12.1,9.4853
12.2,10.4915
12.3,11.4963
12.4,12.4999
12.5,6.44747
12.6,7.46444
12.7,8.4762
12.8,9.48468
12.9,10.491
13,11.4958
13.1,12.4995
13.2,13.5024
13.3,14.5047
13.4,7.62292
13.5,8.61581
13.6,9.60948
13.7,10.6038
13.8,11.5988
13.9,12.5942
14,13.5901
14.1,6.90482
14.2,7.86178
14.3,8.82747
14.4,9.79945
14.5,10.7761
14.6,11.7564
14.7,5.92071
14.8,6.87063
14.9,7.83184
15,8.80086
15.1,9.77552
15.2,10.7544
15.3,11.7365
15.4,12.7211
15.5,13.7077
15.6,14.6959
15.7,15.6855
15.8,16.6762
15.9,8.60419
16,9.59907
16.1,10.5944
16.2,11.5901
16.3,12.5863
16.4,13.5827
16.5,14.5795
16.6,15.5765
16.7,16.5738
16.8,8.40691
16.9,9.42289
17,10.4352
17.1,11.4449
17.2,12.4527
17.3,13.4592
17.4,7.02124
17.5,7.96398
17.6,4.22745
17.7,5.30122
17.8,6.34711
17.9,7.37821
18,8.40052
18.1,9.4172
18.2,10.4301
18.3,5.31048
18.4,6.3548
18.5,7.3848
18.6,8.4063
18.7,9.42235
18.8,10.4347
18.9,11.4445
19,5.97955
19.1,6.92121
19.2,7.87614
19.3,3.93807
19.4,4.87102
19.5,5.82311
19.6,6.78703
19.7,7.7588
19.8,8.73604
19.9,9.71728
